The matrix is:

2 4 6 8 10 3 
5 9 12 7 14 15 
11 16 13 18 20 21 
22 23 24 17 26 27 
2 3 5 7 11 13 
29 30 31 32 33 34 
35 36 37 38 39 40 


------------------------------------------
| No. |  i  |  j  |   Result (Sum)     |
------------------------------------------
|   1 |   0 |   0 |                 14 |
|   2 |   0 |   1 |                 12 |
|   3 |   0 |   2 |                 12 |
|   4 |   0 |   3 |                 12 |
|   5 |   0 |   4 |                 12 |
|   6 |   0 |   5 |                 15 |
|   7 |   1 |   0 |                 29 |
|   8 |   1 |   1 |                 26 |
|   9 |   1 |   2 |                 24 |
|  10 |   1 |   3 |                 31 |
|  11 |   1 |   4 |                 27 |
|  12 |   1 |   5 |                 24 |
|  13 |   2 |   0 |                 51 |
|  14 |   2 |   1 |                 45 |
|  15 |   2 |   2 |                 62 |
|  16 |   2 |   3 |                 43 |
|  17 |   2 |   4 |                 47 |
|  18 |   2 |   5 |                 40 |
|  19 |   3 |   0 |                 41 |
|  20 |   3 |   1 |                 95 |
|  21 |   3 |   2 |                 49 |
|  22 |   3 |   3 |                 73 |
|  23 |   3 |   4 |                 41 |
|  24 |   3 |   5 |                 48 |
|  25 |   4 |   0 |                105 |
|  26 |   4 |   1 |                 63 |
|  27 |   4 |   2 |                116 |
|  28 |   4 |   3 |                 72 |
|  29 |   4 |   4 |                101 |
|  30 |   4 |   5 |                 73 |
|  31 |   5 |   0 |                 69 |
|  32 |   5 |   1 |                 61 |
|  33 |   5 |   2 |                 78 |
|  34 |   5 |   3 |                 87 |
|  35 |   5 |   4 |                 57 |
|  36 |   5 |   5 |                 78 |
|  37 |   6 |   0 |                 22 |
|  38 |   6 |   1 |                 67 |
|  39 |   6 |   2 |                 50 |
|  40 |   6 |   3 |                 47 |
|  41 |   6 |   4 |                 28 |
|  42 |   6 |   5 |                  7 |
