The matrix is:

2 4 6 8 10 3 
5 9 12 7 14 15 
11 16 13 18 20 21 
22 23 24 17 26 27 
2 3 5 7 11 13 
29 30 31 32 33 34 
35 36 37 38 39 40 


--------------------------------------
| No. |  i  |  j  |   Result (Sum)   |
--------------------------------------
|   1 |   0 |   0 |               54 |
|   2 |   0 |   1 |               55 |
|   3 |   0 |   2 |               51 |
|   4 |   0 |   3 |               36 |
|   5 |   0 |   4 |               29 |
|   6 |   0 |   5 |               15 |
|   7 |   1 |   0 |               94 |
|   8 |   1 |   1 |               96 |
|   9 |   1 |   2 |               87 |
|  10 |   1 |   3 |               59 |
|  11 |   1 |   4 |               41 |
|  12 |   1 |   5 |               21 |
|  13 |   2 |   0 |              145 |
|  14 |   2 |   1 |              131 |
|  15 |   2 |   2 |              115 |
|  16 |   2 |   3 |               70 |
|  17 |   2 |   4 |               53 |
|  18 |   2 |   5 |               27 |
|  19 |   3 |   0 |               87 |
|  20 |   3 |   1 |               79 |
|  21 |   3 |   2 |               63 |
|  22 |   3 |   3 |               31 |
|  23 |   3 |   4 |               24 |
|  24 |   3 |   5 |               13 |
|  25 |   4 |   0 |              153 |
|  26 |   4 |   1 |              150 |
|  27 |   4 |   2 |              143 |
|  28 |   4 |   3 |               99 |
|  29 |   4 |   4 |               67 |
|  30 |   4 |   5 |               34 |
|  31 |   5 |   0 |              245 |
|  32 |   5 |   1 |              217 |
|  33 |   5 |   2 |              188 |
|  34 |   5 |   3 |              117 |
|  35 |   5 |   4 |               79 |
|  36 |   5 |   5 |               40 |
|  37 |   6 |   0 |              117 |
|  38 |   6 |   1 |               79 |
|  39 |   6 |   2 |               40 |
|  40 |   6 |   3 |                0 |
|  41 |   6 |   4 |                0 |
|  42 |   6 |   5 |                0 |
